outcome,n_obs,df_resid,r_squared,adj_r_squared,fe_specification,se_specification,model_status,warning
CAR_m1_p1,272,172.0,0.40628781143649195,0.06455812150749607,firm_year_fe,firm_clustered,estimated,
CAR_0_p1,272,172.0,0.4235583358337732,0.09176923843577067,firm_year_fe,firm_clustered,estimated,
CAR_0_p3,272,172.0,0.33358080680889357,-0.04999768229528967,firm_year_fe,firm_clustered,estimated,
CAR_0_p5,272,172.0,0.3632084905787192,-0.003316854960273785,firm_year_fe,firm_clustered,estimated,
AbnormalVolume_0_p1,272,172.0,0.637908116282007,0.4294947646071158,firm_year_fe,firm_clustered,estimated,
AbnormalVolume_0_p3,272,172.0,0.5468441175990455,0.28601602249617053,firm_year_fe,firm_clustered,estimated,
AbnormalVolume_0_p5,272,172.0,0.46834893183270054,0.16234046817826664,firm_year_fe,firm_clustered,estimated,
CAR_m10_m6,272,172.0,0.405044245567571,0.0625987822605335,firm_year_fe,firm_clustered,estimated,
CAR_m5_m2,272,172.0,0.33195454831902205,-0.05255998491595948,firm_year_fe,firm_clustered,estimated,
AbnormalVolume_m5_m2,272,172.0,0.520501633334923,0.24451129438234975,firm_year_fe,firm_clustered,estimated,
