fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,topic_5_count,topic_5_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
1,Amazon,AMZN,0001018724,2023,12,5,0.416667,4,0.333333,0,0.0,2,0.166667,1,0.083333,0,0.0,10,0.833333,36,3.0,13,1.083333,54,4.5,16,1.333333,6
1,Amazon,AMZN,0001018724,2024,16,4,0.25,5,0.3125,0,0.0,2,0.125,1,0.0625,4,0.25,11,0.6875,38,2.375,13,0.8125,57,3.5625,17,1.0625,6
1,Amazon,AMZN,0001018724,2025,29,5,0.172414,5,0.172414,2,0.068966,2,0.068966,3,0.103448,12,0.413793,17,0.586207,64,2.206897,16,0.551724,89,3.068966,45,1.551724,6
2,Walmart,WMT,0000104169,2023,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,8,1.6,4,0.8,0,0.0,5,1.0,1,0.2,6
2,Walmart,WMT,0000104169,2024,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,10,1.428571,4,0.571429,0,0.0,6,0.857143,1,0.142857,6
2,Walmart,WMT,0000104169,2025,12,1,0.083333,0,0.0,2,0.166667,2,0.166667,1,0.083333,6,0.5,12,1.0,14,1.166667,0,0.0,20,1.666667,5,0.416667,6
3,UnitedHealth Group,UNH,0000731766,2023,11,3,0.272727,0,0.0,1,0.090909,5,0.454545,2,0.181818,0,0.0,7,0.636364,26,2.363636,1,0.090909,37,3.363636,17,1.545455,6
3,UnitedHealth Group,UNH,0000731766,2024,11,3,0.272727,0,0.0,1,0.090909,5,0.454545,2,0.181818,0,0.0,7,0.636364,29,2.636364,1,0.090909,38,3.454545,17,1.545455,6
3,UnitedHealth Group,UNH,0000731766,2025,15,3,0.2,0,0.0,1,0.066667,8,0.533333,3,0.2,0,0.0,10,0.666667,29,1.933333,1,0.066667,38,2.533333,17,1.133333,6
4,Apple,AAPL,0000320193,2023,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,1,1.0,5,5.0,0,0.0,6
4,Apple,AAPL,0000320193,2024,3,2,0.666667,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,7,2.333333,2,0.666667,6,2.0,0,0.0,6
4,Apple,AAPL,0000320193,2025,6,3,0.5,0,0.0,0,0.0,3,0.5,0,0.0,0,0.0,2,0.333333,13,2.166667,3,0.5,15,2.5,0,0.0,6
5,Alphabet,GOOGL,0001652044,2023,82,4,0.04878,10,0.121951,2,0.02439,14,0.170732,44,0.536585,8,0.097561,24,0.292683,115,1.402439,46,0.560976,120,1.463415,160,1.95122,6
5,Alphabet,GOOGL,0001652044,2024,93,6,0.064516,12,0.129032,3,0.032258,19,0.204301,42,0.451613,11,0.11828,34,0.365591,129,1.387097,46,0.494624,169,1.817204,194,2.086022,6
5,Alphabet,GOOGL,0001652044,2025,84,9,0.107143,12,0.142857,3,0.035714,22,0.261905,29,0.345238,9,0.107143,35,0.416667,127,1.511905,37,0.440476,140,1.666667,173,2.059524,6
6,CVS Health,CVS,0000064803,2023,4,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,1,0.25,7,1.75,2,0.5,0,0.0,7,1.75,7,1.75,6
6,CVS Health,CVS,0000064803,2024,7,2,0.285714,0,0.0,1,0.142857,0,0.0,3,0.428571,1,0.142857,7,1.0,11,1.571429,0,0.0,19,2.714286,7,1.0,6
6,CVS Health,CVS,0000064803,2025,13,2,0.153846,0,0.0,2,0.153846,3,0.230769,5,0.384615,1,0.076923,19,1.461538,39,3.0,0,0.0,42,3.230769,14,1.076923,6
7,Berkshire Hathaway,BRK-B,0001067983,2025,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,3.0,0,0.0,8,4.0,2,1.0,6
8,McKesson,MCK,0000927653,2023,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,7,2.333333,3,1.0,0,0.0,3,1.0,0,0.0,6
8,McKesson,MCK,0000927653,2024,13,2,0.153846,0,0.0,1,0.076923,1,0.076923,4,0.307692,5,0.384615,20,1.538462,15,1.153846,0,0.0,24,1.846154,6,0.461538,6
8,McKesson,MCK,0000927653,2025,24,5,0.208333,0,0.0,2,0.083333,5,0.208333,7,0.291667,5,0.208333,28,1.166667,47,1.958333,0,0.0,80,3.333333,10,0.416667,6
9,Exxon Mobil,XOM,0000034088,2025,3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333,2,0.666667,4,1.333333,4,1.333333,1,0.333333,5,1.666667,0,0.0,6
10,Cencora,COR,0001140859,2023,3,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,3,1.0,3,1.0,0,0.0,5,1.666667,2,0.666667,6
10,Cencora,COR,0001140859,2024,3,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,3,1.0,3,1.0,0,0.0,5,1.666667,2,0.666667,6
10,Cencora,COR,0001140859,2025,17,3,0.176471,0,0.0,5,0.294118,6,0.352941,0,0.0,3,0.176471,12,0.705882,50,2.941176,0,0.0,63,3.705882,14,0.823529,6
11,Microsoft,MSFT,0000789019,2023,71,3,0.042254,31,0.43662,4,0.056338,10,0.140845,21,0.295775,2,0.028169,50,0.704225,71,1.0,19,0.267606,81,1.140845,100,1.408451,6
11,Microsoft,MSFT,0000789019,2024,99,5,0.050505,35,0.353535,7,0.070707,14,0.141414,26,0.262626,12,0.121212,66,0.666667,101,1.020202,29,0.292929,115,1.161616,146,1.474747,6
11,Microsoft,MSFT,0000789019,2025,87,4,0.045977,23,0.264368,9,0.103448,16,0.183908,16,0.183908,19,0.218391,82,0.942529,114,1.310345,18,0.206897,97,1.114943,176,2.022989,6
12,JPMorgan Chase,JPM,0000019617,2023,3,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,2,0.666667,0,0.0,9,3.0,0,0.0,7,2.333333,12,4.0,6
12,JPMorgan Chase,JPM,0000019617,2024,11,5,0.454545,0,0.0,2,0.181818,0,0.0,0,0.0,4,0.363636,2,0.181818,37,3.363636,2,0.181818,38,3.454545,22,2.0,6
12,JPMorgan Chase,JPM,0000019617,2025,17,2,0.117647,0,0.0,2,0.117647,3,0.176471,0,0.0,10,0.588235,15,0.882353,40,2.352941,1,0.058824,55,3.235294,46,2.705882,6
13,Costco Wholesale,COST,0000909832,2024,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,6
13,Costco Wholesale,COST,0000909832,2025,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,2,1.0,7,3.5,0,0.0,12,6.0,0,0.0,6
